id,organization,organization_link,country_code,country_name,postal_code,city,company_size_category,employees,economic_sector_EN,economic_sector_DE,number_of_balances_org_table,balance_scores
14950,BfG Eigentümer/-innen- und Verwaltungsgenossenschaft eG,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=o3qae,AT,Austria,1050,Wien,Small (≤50),11-25,Finance,Finanzen,1,{'28-02-2022': 457}
22408,bhz Stuttgart e.V.,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=blpr8,DE,Germany,70567,Stuttgart,Mid (≤250),101-250,Health / Social Affairs / Nursing,Gesundheitswesen / Soziales / Pflege,1,{'31-12-2022': 357}
111948,Bibernelle Bio-Lieferdienst,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=n1d1k,DE,Germany,06846,Dessau,Micro (≤10),3-10,Nutrition / Agriculture / Forestry,Nahrungsmittel / Land /  Forstwirtschaft,1,{'31-07-2025': 492}
15520,Bichlbäck,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=t99d3,AT,Austria,6342,Niederndorf,Small (≤50),11-25,Nutrition / Agriculture / Forestry,Nahrungsmittel / Land /  Forstwirtschaft,1,{'31-05-2022': 402}
84571,Big Picture Consulting GmbH,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=35l73,DE,Germany,82152,Krailling,Micro (≤10),1-2,Consulting,Beratung / Consulting,1,{'31-07-2024': 168}
41214,bio austria – Verein zur Förderung des Biologischen Landbaus,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=39nq9,AT,Austria,1040,Wien,Micro (≤10),3-10,Nutrition / Agriculture / Forestry,Nahrungsmittel / Land /  Forstwirtschaft,1,{'30-09-2017': 663}
14825,Bio Hotel Bayerischer Wirt,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=4n35t,DE,Germany,86167,Augsburg,Small (≤50),11-25,Tourism / Hotel / Catering,Tourismus / Hotel / Gastronomie,1,{'30-03-2021': 627}
14826,Bio Hotel Eggensberger,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=c814t,DE,Germany,87629,Füssen – Hopfen am See,Small (≤50),26-50,Tourism / Hotel / Catering,Tourismus / Hotel / Gastronomie,1,{'30-03-2021': 654}
64599,Bio Metzgerei Juffinger GmbH,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=zj7j2,AT,Austria,6335,Thiersee,Small (≤50),26-50,Nutrition / Agriculture / Forestry,Nahrungsmittel / Land /  Forstwirtschaft,1,{'30-11-2024': 504}
127441,Bio-Landgut Fleisch EZG GmbH,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=dj40h,DE,Germany,72108,Rottenburg am Neckar,Micro (≤10),3-10,Nutrition / Agriculture / Forestry,Nahrungsmittel / Land /  Forstwirtschaft,1,{'09-08-2025': 389}
38079,Bio-Marktgemeinschaft eG Stemmerhof,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=kuzay,DE,Germany,81369,München,Small (≤50),11-25,Trade / Consumption,Handel / Konsum,2,"{'31-12-2014': 596, '31-12-2016': 631}"
44687,BioBauernladen Kremstal GmbH,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=2s8ln,AT,Austria,4560,Kirchdorf an der Krems,Micro (≤10),3-10,Nutrition / Agriculture / Forestry,Nahrungsmittel / Land /  Forstwirtschaft,1,{'31-03-2017': 645}
133353,Biocaseificio Tomasoni,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=lrwd,IT,Italy,25023,Gottolengo (BS),Micro (≤10),3-10,Nutrition / Agriculture / Forestry,Nahrungsmittel / Land /  Forstwirtschaft,1,{'16-06-2024': 406}
92503,Biocosas,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=jypmh,ES,Spain,08172,Sant Cugat del Vallés,Micro (≤10),1-2,Other,Sonstige,1,{'22-07-2016': 399}
14721,Bioculture GmbH,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=u3xs2,DE,Germany,81541,München,Micro (≤10),3-10,Marketing / Avertising / PR,Marketing / Werbung / PR,1,{'30-04-2021': 382}
30326,Biohof Lecker GbR,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=3qpsu,DE,Germany,83410,Laufen,Micro (≤10),3-10,Nutrition / Agriculture / Forestry,Nahrungsmittel / Land /  Forstwirtschaft,1,{'31-07-2019': 594}
