id,organization,locations_id,employees_id,sectors_id
127566,Dalitz Immobilien GmbH,484,1.0,30.0
104216,Das Diakonische Werk der Evangelischen Landeskirche in Baden e.V.,576,6.0,16.0
130169,Das Gemüseabo Max Apfelbacher,484,4.0,38.0
101888,DAS HELDEN ATELIER,700,1.0,7.0
45146,DAS ZENTRUM – Marietta Sonja Keller,176,1.0,7.0
102906,Datenschutzberatung Janthur GmbH,571,2.0,33.0
62109,Datracon,548,1.0,7.0
64666,de Koer,170,2.0,1.0
44715,De Öko Melkburen GmbH,322,1.0,25.0
47814,Degree Clothing GmbH,701,2.0,38.0
92501,Delibera,804,1.0,26.0
14900,Der Fährmann Bestattung und Trauerrituale Bernhard Schöpfer OG,111,2.0,26.0
38694,DER HOLZHOF GmbH  Kunze,145,2.0,8.0
40994,"Der Service Gaertner Gärtnermeister, Reinhard Sperr",58,2.0,25.0
44722,DESIGNKRAFT Werbeagentur,63,1.0,22.0
98840,Destination Wattens Regionalentwicklung GmbH,97,3.0,26.0
55125,Deutsches Theater in Göttingen GmbH,404,6.0,1.0
47812,deVega Medien GmbH,692,4.0,28.0
36827,DI Elke Szalai Planung&Vielfalt,28,1.0,7.0
36533,DI Siegfried Lerchbaumer,118,1.0,6.0
14740,Diabetes und Stoffwechselpraxis Wetter,498,2.0,16.0
75496,Diakonie Düsseldorf e.V.,419,12.0,26.0
123176,Diakonie Hasenbergl e. V.,612,8.0,16.0
14954,Diakonie Herzogsägmühle,712,12.0,16.0
46983,Diakonieverbund Schweicheln e.V.,364,3.0,26.0
132138,Die AboKiste – Werkhof Service GmbH,439,4.0,38.0
139906,Die Autoschmiede Ringsberg GmbH,324,3.0,8.0
52579,Die Bremer Stadtreinigung,340,6.0,40.0
14831,die Fleckenbühler Hof Fleckenbühl gGmbH,395,3.0,16.0
44765,DIE GRÜNEN – GRÜNE ALTERNATIVE TIROL,92,4.0,26.0
44741,Die Grünen im Salzburger Landtag,60,2.0,26.0
44724,Die Grünen Salzburg,62,2.0,26.0
99165,Die Mitmachzentrale e.V.,551,1.0,2.0
55987,Die Praxis – Maya Heinrichmeier,706,1.0,16.0
14762,Die Seitenalm,80,4.0,37.0
44749,Die Wohnwerkstatt GmbH – Massivholz – Tischlerei Schallmooser,62,2.0,8.0
14832,Dietzinger+Partner,663,2.0,25.0
14899,Dinkelbeck,748,2.0,25.0
22084,Diözese St. Pölten – Jugendhaus Schacherhof,36,2.0,26.0
145526,Dipl.-Ing. H. Bendl GmbH & Co. KG,749,6.0,6.0
14866,Dirk Posse,392,1.0,7.0
53775,DLG – Gemeinnützige Dienstleistungsgesellschaft der Re-gion Weiz G.m.b.H.,151,4.0,16.0
64601,Dödlinger Touristik GmbH,110,3.0,39.0
14814,Dorfelektriker Mittelberger GmbH,128,5.0,11.0
14833,Dorfladen Häger e.V.,382,1.0,25.0
14744,Dornbirner Sparkasse Bank AG,132,12.0,13.0
14704,Doro Heckelsmüller,705,1.0,26.0
22580,doubleSlash Net-Business GmbH,732,6.0,9.0
30047,Dr. Alois Mair,73,1.0,16.0
91596,Dr. Arthur Pelchen,242,1.0,7.0
90581,Dr. Dr. Behrens Beratung Coaching Training,539,1.0,7.0
14974,Dr. Gabriele Mönicke,386,1.0,33.0
41078,Dr. Hingerl & Partner,682,2.0,7.0
24528,Dr. Langniß Energie & Analyse,533,2.0,7.0
37267,Dr. Norbert Wißgott,43,1.0,16.0
38150,Dr. Susanne Schmall,407,1.0,7.0
14988,DR. ULRICH WIEK Training & Coaching,530,1.0,7.0
129564,Drachenstube,684,1.0,38.0
35676,Dreimäderlhaus,726,2.0,37.0
28513,DROSG-PLÖCKINGER & PLÖCKINGER OG,11,\N,\N
44751,Druckerei Nienstedt GmbH,303,2.0,28.0
14671,Druckerei Zollenspieker,295,2.0,28.0
38094,dwp eG Fairhandelsgenossenschaft Ravensburg,736,3.0,38.0
37391,DYAS Beratungsges. mbH,316,1.0,7.0
14906,Dynamic Governance Führung und Ethik in der Unternehmensentwicklung Petra Ostfeld,341,2.0,7.0
46802,e-fect dialog evaluation consulting eG,218,2.0,7.0
15795,EarthWays,169,1.0,7.0
27428,Easy Mobil GmbH,899,1.0,39.0
93999,easyconsult GmbH,7,3.0,9.0
14936,easySoft. GmbH,565,5.0,26.0
132123,eb24-einfach mehr Service,438,2.0,33.0
50170,ECB-Beratung GmbH,275,1.0,7.0
14672,ECG Ecotopia,925,1.0,33.0
36666,echoholos,186,1.0,7.0
92395,Eco Invéntame,860,\N,26.0
83988,EcoEmbassy,674,1.0,7.0
14792,Ecofit Biofruchtimport GmbH,538,3.0,38.0
14802,Ecosia GmbH,236,4.0,19.0
80267,Edition Progris,247,1.0,26.0
14845,Ego Elektrikergenossenschaft,191,2.0,11.0
14846,Eigenbetrieb Leben und Wohnen der Landeshauptstadt Stuttgart (ELW),545,12.0,16.0
14926,Eigenbetrieb Stadtentwässerung Mannheim (EBS Mannheim),528,6.0,26.0
44813,Eissalon Franz Leonardelli KG,15,2.0,37.0
14847,EL PUENTE GmbH,362,4.0,38.0
92427,El Sol es vida,839,\N,26.0
130850,Elbers Hof GmbH & Co.KG,353,4.0,25.0
131810,Elektrizitätswerk Hindelang e.G.,722,3.0,12.0
14714,elfgen pick gmbh & co. kg,688,2.0,23.0
38374,ELVG Bentlage GmbH,11,3.0,8.0
14849,EM-Chiemgau- Christoph Fischer GmbH,648,3.0,38.0
14850,EM-faktor GmbH – die social profit agentur,532,3.0,7.0
30132,"embedded linux devices, EXD",27,1.0,9.0
14851,Engel und Brotzge og einfachmoebel,136,2.0,6.0
36671,Engineer M.E. Ing. Markus Eisner,45,1.0,7.0
92339,Enreda,847,\N,26.0
85120,ensian Group GmbH |  elobau GmbH & Co KG,739,12.0,11.0
41022,Entwicklung Gemeinwohl Kunst,188,1.0,7.0
55981,Ernährungs-Vitalstoffberatung Lydia Zahn,705,1.0,7.0
92381,Escuela Ideo,825,\N,26.0
91279,ESN Deutsche Tischtennis Technologie GmbH,789,6.0,5.0
92397,Espais per conviure,854,\N,26.0
92351,ETIC OnLine S.L.,867,\N,26.0
92517,Ética patrimonios S.L.U.,850,1.0,26.0
92471,Eticus Eticae,805,1.0,26.0
40974,ETTL-SOFTWARE GMBH,44,2.0,9.0
46971,Ev. Jugendhilfe Bochum e.V.,442,3.0,10.0
46969,Ev. Jugendhilfe Geltow e.V.,267,4.0,10.0
46988,Ev. Jugendhilfe Schweicheln,364,3.0,10.0
24525,Eva Dornauer,92,1.0,7.0
44955,EVA STEIGER NATURGESTALTUNGEN,137,1.0,38.0
39034,Evang. Kirchengemeinde Rosphetal-Mellnau,394,1.0,26.0
139341,Evangelische Kirchengemeinden Griesheim und Nied,523,6.0,26.0
22420,Evangelisches Johannesstift Jugendhilfe gGmbH,260,12.0,16.0
83967,Evelyn Peppler,764,1.0,7.0
139401,Existenzgründerzentrum Ingolstadt GmbH,675,2.0,7.0
111469,Experts & Talents Center of HR Excellence GmbH,199,3.0,7.0
113857,Experts & Talents Center of HR Excellence GmbH,199,3.0,7.0
37700,EZ-Akademie | Vitale Menschen Unternehmen Gemeinden (Verein),30,1.0,7.0
14852,F & P Stock Solution GmbH,268,4.0,38.0
131651,Fachhochschule Dortmund,432,8.0,10.0
14805,Fahnen-Gärtner GmbH,87,5.0,36.0
44753,Fair Handels GmbH,92,2.0,38.0
96971,fair:möbeln,654,1.0,7.0
14953,fairagent Int. FAI UG (haftungsbeschränkt),253,1.0,30.0
14726,Fairmittler Stefan Gmeiner e.U.,133,1.0,28.0
38098,Fairmondo eG,233,3.0,38.0
30139,Familienferienanlage Gut Nisdorf GmbH,279,2.0,37.0
14742,Farbenmühle mcdrent GmbH & Co.KG,445,2.0,6.0
35296,"FARCAP Faire Mode gGmbH, Fürth",763,\N,36.0
45948,Fastenopfer,179,4.0,26.0
90744,Faunt,468,1.0,38.0
135620,FC St. Pauli von 1910 e.V.,289,7.0,2.0
133339,Feelera Srl società benefit,878,2.0,9.0
111111,Fegerl Consulting Studio Salzburg,66,1.0,7.0
37740,Felix Oesch – Beratungen Gallusberg GmbH,196,1.0,7.0
44755,Ferienhof Möller,322,1.0,37.0
29723,FH Burgenland,137,5.0,10.0
14804,FIBUR GmbH,207,2.0,18.0
110257,Flipped Job Market,794,1.0,33.0
47495,Flores Farm GmbH,535,\N,25.0
101017,Flotte Karotte,443,4.0,38.0
124386,Flower Factory,219,2.0,38.0
14815,FnF Mannheimer Gesellschaft zur Förderung von Arbeitsplätzen,525,4.0,37.0
14776,focus-energie,590,2.0,8.0
14901,Fohlenhof Astner,163,1.0,25.0
92495,Folgado,853,1.0,26.0
23225,followfood GmbH,731,4.0,25.0
72957,FONDAZIONE MIRAFIORI,873,2.0,16.0
14998,Forst Baden-Württemberg (ForstBW),557,12.0,25.0
84747,forStory GmbH,620,2.0,23.0
36697,FORUM BERUFSBILDUNG MÜNCHEN KARL THIESSEN,664,3.0,7.0
14801,Forum Futura UG,216,2.0,32.0
14834,Foto Flausen,62,1.0,33.0
143258,FOX & FOX OG,35,1.0,22.0
127813,Fraktion BÜNDNIS 90/DIE GRÜNEN im Bayerischen Landtag,627,5.0,26.0
25435,framtid GmbH,304,2.0,18.0
56685,Franz Leonardelli KG,15,2.0,37.0
